nSeq	I1	I2	O1	O2	A1	A2	A3	A4	A5	A6
0	0	0	0	0	513	481	0	516	38	0
1	0	0	0	0	513	476	0	510	38	0
2	0	0	0	0	506	476	0	509	39	0
3	0	0	0	0	511	503	0	511	38	0
4	0	0	0	0	511	474	0	521	38	0
5	0	0	1	0	519	521	0	512	38	0
6	0	0	1	0	521	480	0	513	38	0
7	0	0	1	0	522	502	0	505	38	0
8	0	0	1	0	516	512	0	503	38	0
9	0	0	1	0	518	506	0	515	38	0
10	0	0	1	0	512	480	0	510	38	0
11	0	0	1	0	518	512	0	510	38	0
12	0	0	1	0	513	488	0	505	38	0
13	0	0	1	0	515	454	0	513	38	0
14	0	0	1	0	518	463	0	512	38	0
15	0	0	1	0	519	408	0	511	38	0
0	0	0	1	0	517	484	0	508	38	0
1	0	0	1	0	520	451	0	520	38	0
2	0	0	1	0	519	435	0	512	38	0
3	0	0	1	0	513	465	0	508	38	0
4	0	0	1	0	516	505	0	504	38	0
5	0	0	1	0	519	428	0	513	38	0
6	0	0	1	0	522	574	0	509	38	0
7	0	0	1	0	516	737	0	515	38	0
8	0	0	1	0	514	692	0	507	38	0
9	0	0	1	0	519	435	0	513	38	0
10	0	0	1	0	517	395	0	516	38	0
11	0	0	1	0	520	435	0	509	38	0
12	0	0	1	0	512	493	0	516	38	0
13	0	0	1	0	517	495	0	506	38	0
14	0	0	1	0	511	409	0	508	38	0
15	0	0	1	0	525	469	0	508	38	0
0	0	0	1	0	518	496	0	502	38	0
1	0	0	1	0	514	465	0	511	38	0
2	0	0	1	0	523	500	0	513	38	0
3	0	0	1	0	515	426	0	513	38	0
4	0	0	1	0	514	484	0	509	38	0
5	0	0	1	0	517	477	0	510	38	0
6	0	0	1	0	515	521	0	508	38	0
7	0	0	1	0	516	513	0	528	38	0
8	0	0	1	0	516	458	0	513	38	0
9	0	0	1	0	512	555	0	510	38	0
10	0	0	1	0	517	508	0	515	39	0
11	0	0	1	0	518	544	0	508	38	0
12	0	0	1	0	509	557	0	509	39	0
13	0	0	1	0	515	562	0	508	38	0
14	0	0	1	0	516	543	0	528	38	0
15	0	0	1	0	519	609	0	511	38	0
0	0	0	1	0	514	501	0	515	38	0
1	0	0	1	0	516	474	0	511	38	0
2	0	0	1	0	516	500	0	510	39	0
3	0	0	1	0	514	433	0	520	38	0
4	0	0	1	0	518	476	0	510	38	0
5	0	0	1	0	512	439	0	513	38	0
6	0	0	1	0	520	459	0	515	38	0
7	0	0	1	0	516	440	0	508	38	0
8	0	0	1	0	515	461	0	515	38	0
9	0	0	1	0	515	425	0	513	38	0
10	0	0	1	0	515	473	0	513	38	0
11	0	0	1	0	512	464	0	519	38	0
12	0	0	1	0	512	440	0	519	38	0
13	0	0	1	0	519	498	0	513	38	0
14	0	0	1	0	515	512	0	524	38	0
15	0	0	1	0	518	524	0	513	38	0
0	0	0	1	0	519	578	0	524	38	0
1	0	0	1	0	513	579	0	515	38	0
2	0	0	1	0	518	597	0	520	38	0
3	0	0	1	0	516	581	0	519	38	0
4	0	0	1	0	516	567	0	514	38	0
5	0	0	1	0	520	556	0	516	38	0
6	0	0	1	0	521	573	0	520	38	0
7	0	0	1	0	517	575	0	522	38	0
8	0	0	1	0	523	572	0	521	38	0
9	0	0	1	0	511	547	0	513	38	0
10	0	0	1	0	513	550	0	507	38	0
11	0	0	1	0	509	564	0	510	38	0
12	0	0	1	0	523	560	0	519	38	0
13	0	0	1	0	512	548	0	516	38	0
14	0	0	1	0	512	541	0	521	38	0
15	0	0	1	0	515	505	0	511	38	0
0	0	0	1	0	513	521	0	521	38	0
1	0	0	1	0	519	529	0	523	39	0
