nSeq	I1	I2	O1	O2	A1	A2	A3	A4	A5	A6
0	0	0	0	0	519	537	0	354	39	6    
1	0	0	0	0	509	554	0	1018	39	6
2	0	0	0	0	518	525	0	339	39	6
3	0	0	0	0	504	509	0	831	39	6
4	0	0	1	0	520	494	0	295	38	6
5	0	0	1	0	509	494	0	696	39	6
6	0	0	1	0	526	497	0	272	39	6
7	0	0	1	0	507	525	0	551	39	6
8	0	0	1	0	518	505	0	267	38	6
9	0	0	1	0	508	456	0	393	39	6
10	0	0	1	0	517	483	0	280	39	6
11	0	0	1	0	508	503	0	420	39	6
12	0	0	1	0	527	439	0	319	38	6
13	0	0	1	0	512	529	0	488	39	6
14	0	0	1	0	529	502	0	354	39	6
15	0	0	1	0	510	507	0	553	39	6
0	0	0	1	0	526	510	0	381	38	6
1	0	0	1	0	504	453	0	569	39	6
2	0	0	1	0	518	504	0	389	39	6
3	0	0	1	0	508	524	0	697	39	6
4	0	0	1	0	521	512	0	398	38	6
5	0	0	1	0	511	522	0	608	39	6
6	0	0	1	0	515	499	0	392	39	6
7	0	0	1	0	507	482	0	628	39	6
8	0	0	1	0	523	510	0	400	38	6
9	0	0	1	0	505	518	0	805	39	6
10	0	0	1	0	515	521	0	394	39	6
11	0	0	1	0	505	496	0	796	39	6
12	0	0	1	0	517	527	0	380	38	6
13	0	0	1	0	505	523	0	705	39	6
14	0	0	1	0	516	502	0	357	39	6
15	0	0	1	0	509	492	0	764	39	6
0	0	0	1	0	519	506	0	352	38	6
1	0	0	1	0	507	483	0	571	39	6
2	0	0	1	0	526	536	0	354	39	6
3	0	0	1	0	511	480	0	604	39	6
4	0	0	1	0	509	510	0	334	38	6
5	0	0	1	0	501	494	0	752	39	6
6	0	0	1	0	521	591	0	336	37	6
7	0	0	1	0	507	573	0	1018	39	6
8	0	0	1	0	515	542	0	429	39	6
9	0	0	1	0	508	432	0	1018	38	6
10	0	0	1	0	521	476	0	82	39	6
11	0	0	1	0	509	502	0	1018	38	6
12	0	0	1	0	519	527	0	0	39	6
13	0	0	1	0	508	487	0	1018	38	6
14	0	0	1	0	517	528	0	0	38	6
15	0	0	1	0	512	543	0	1018	39	6
0	0	0	1	0	517	515	0	0	38	6
1	0	0	1	0	504	508	0	1018	39	6
2	0	0	1	0	519	563	0	0	39	6
3	0	0	1	0	503	539	0	0	39	6
4	0	0	1	0	519	506	0	0	38	6
5	0	0	1	0	504	518	0	29	39	6
6	0	0	1	0	519	528	0	0	38	6
7	0	0	1	0	508	528	0	193	39	6
8	0	0	1	0	520	537	0	0	38	6
9	0	0	1	0	515	553	0	1	38	6
10	0	0	1	0	523	532	0	0	39	6
11	0	0	1	0	508	541	0	161	39	6
12	0	0	1	0	516	560	0	0	38	6
13	0	0	1	0	507	530	0	102	39	6
14	0	0	1	0	517	539	0	0	38	6
15	0	0	1	0	509	522	0	142	39	6
0	0	0	1	0	514	519	0	33	38	6
1	0	0	1	0	504	525	0	312	39	6
2	0	0	1	0	523	497	0	107	39	6
3	0	0	1	0	509	491	0	369	39	6
4	0	0	1	0	525	467	0	163	38	6
5	0	0	1	0	511	476	0	369	39	6
6	0	0	1	0	524	486	0	213	39	6
